School Short Name,Facility ID,Sample ID #,Sample Location,Water Last Used (Time & Date),Test Result (ppb),Test Results
Juarez HS,51570,51570-1-HAL-F06-01,Next to Medical Lab,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F06-02,Next to Medical Lab,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F06-03,Next to Medical Lab,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F06-04,Next to Medical Lab,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-1-HAL-F06-05,Next to Medical Lab,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F03-01,Across RM 230,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F03-02,Across RM 230,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F03-03,Across RM 230,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F03-04,Across RM 230,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F03-05,Across RM 230,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F04-01,Near RM 219 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F04-02,Near RM 219 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F04-03,Near RM 219 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F04-04,Near RM 219 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F04-05,Near RM 219 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F05-01,Near RM 219 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F05-02,Near RM 219 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F05-03,Near RM 219 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F05-04,Near RM 219 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F05-05,Near RM 219 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F05-01,Across RM 356,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F05-02,Across RM 356,10PM 10/13/2016,ND,ND
Juarez HS,51570,10PM 10/13/2016,ND,,,
Juarez HS,51570,51570-3-HAL-F05-04,Across RM 356,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F05-05,Across RM 356,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F01-01,Outside Main Office Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F01-02,Outside Main Office Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F01-03,Outside Main Office Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F01-04,Outside Main Office Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F01-05,Outside Main Office Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F02-01,Outside Main Office Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F02-02,Outside Main Office Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F02-03,Outside Main Office Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F02-04,Outside Main Office Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-2-HAL-F02-05,Outside Main Office Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F02-01,"East Wall, South of RM 311",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F02-02,"East Wall, South of RM 312",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F02-03,"East Wall, South of RM 313",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F02-04,"East Wall, South of RM 314",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F02-05,"East Wall, South of RM 315",10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F03-01,Across RM 354 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F03-02,Across RM 354 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F03-03,Across RM 354 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F03-04,Across RM 354 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F03-05,Across RM 354 Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F04-01,Across RM 354 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F04-02,Across RM 354 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F04-03,Across RM 354 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F04-04,Across RM 354 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F04-05,Across RM 354 Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,10PM 10/13/2016,ND,,,
Juarez HS,51570,51570-3-CUL-S01-02,Culinary RM N. Wall Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-CUL-S01-03,Culinary RM N. Wall Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-CUL-S01-04,Culinary RM N. Wall Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-CUL-S01-05,Culinary RM N. Wall Left,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-CUL-S02-01,Culinary RM N. Wall Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-CUL-S02-02,Culinary RM N. Wall Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-CUL-S02-03,Culinary RM N. Wall Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-CUL-S02-04,Culinary RM N. Wall Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-CUL-S02-05,Culinary RM N. Wall Right,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F01-01,South Wall West of RM 303,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F01-02,South Wall West of RM 303,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F01-03,South Wall West of RM 303,10PM 10/13/2016,ND,ND
Juarez HS,51570,51570-3-HAL-F01-04,South Wall West of RM 303,10PM 10/13/2016,ND,ND
Juarez HS,51570,"51570-3-HAL-F01-0550751-1-HAL-F01-01","South Wall West of RM 303Outside Bathrooms Left",10PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,9PM 10/13/2016,ND,ND,,
Juarez A/B Linked,50751,50751-1-HAL-F01-02,Outside Bathrooms Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F01-03,Outside Bathrooms Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F01-04,Outside Bathrooms Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F01-05,Outside Bathrooms Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F02-01,Outside Bathrooms Right,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F02-02,Outside Bathrooms Right,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F02-03,Outside Bathrooms Right,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F02-04,Outside Bathrooms Right,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F02-05,Outside Bathrooms Right,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F03-01,Across From Stage Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F03-02,Across From Stage Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F03-03,Across From Stage Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F03-04,Across From Stage Left,9PM 10/13/2016,ND,
Juarez A/B Linked,50751,50751-1-HAL-F03-05,Across From Stage Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F04-01,Across From Stage Righ t,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F04-02,Across From Stage Righ t,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F04-03,Across From Stage Righ t,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F04-04,Across From Stage Righ t,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-1-HAL-F04-05,Across From Stage Righ t,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-2-HAL-F01-01,Across RM 222 Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-2-HAL-F01-02,Across RM 222 Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-2-HAL-F01-03,Across RM 222 Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-2-HAL-F01-04,Across RM 222 Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-2-HAL-F01-05,Across RM 222 Left,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-2-HAL-F02-01,Across RM 222 Right,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-2-HAL-F02-02,Across RM 222 Right,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-2-HAL-F02-03,Across RM 222 Right,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,50751-2-HAL-F02-04,Across RM 222 Right,9PM 10/13/2016,ND,ND
Juarez A/B Linked,50751,"50751-2-HAL-F02-0550551-1-011-F01-01","Across RM 222 RightGym",9PM 10/13/2016,ND,ND
Juarez Building D,50551,10PM 10/13/2016,ND,ND,,
Juarez Building D,50551,50551-1-011-F01-02,Gym,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-011-F01-03,Gym,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-011-F01-04,Gym,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-011-F01-05,Gym,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-POL-F01-01,Pool Left Fountain,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-POL-F01-02,Pool Left Fountain,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-POL-F01-03,Pool Left Fountain,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-POL-F01-04,Pool Left Fountain,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-POL-F01-05,Pool Left Fountain,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-POL-F02-01,Pool Right Fountain,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-POL-F02-02,Pool Right Fountain,10PM 10/13/2016,ND,
Juarez Building D,50551,50551-1-POL-F02-03,Pool Right Fountain,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-POL-F02-04,Pool Right Fountain,10PM 10/13/2016,ND,ND
Juarez Building D,50551,50551-1-POL-F02-05,Pool Right Fountain,10PM 10/13/2016,ND,ND
