park_name,fixture_location,result_value,result_flag,processed_result,exceeds_epa
Catalpa,Fountain 1,5.49,,5.49,0
California,Fountain 1 High,<0.120,U,0.0,0
California,Fountain 1 Middle,<0.120,U,0.0,0
California,Fountain 1 Low,<0.120,U,0.0,0
California,Fountain 2 High,0.137,J,0.13699999999999998,0
California,Fountain 2 Low,<0.120,U,0.0,0
California,Fountain 3*,29.5,,29.5,1
Calumet,Hall Outside of Women's Room,0.55,J,0.55,0
Calumet,Hall Outside of Preschool Room,1.05,J,1.05,0
Calumet,Girl's Locker Room,12.4,,12.4,0
Calumet,Boy's Locker Room,1.48,J,1.48,0
Calumet,Basement Near Train Room,1.82,J,1.82,0
Calumet,Fountain 2*,16,,16.0,1
Calumet,Fountain 3,<2.0,U,0.0,0
Calumet,Fountain 4 High,<2.0,U,0.0,0
Calumet,Fountain 4 Low,<2.0,U,0.0,0
Calumet,Fountain 5,<2.0,U,0.0,0
Calumet,Fountain 6,<2.0,U,0.0,0
Calumet,Fountain 7,7.2,,7.2,0
Calumet,Fountain 8,9.2,,9.2,0
Calumet,Fountain 9,9.7,,9.7,0
Calumet,Fountain 10,<2.0,U,0.0,0
Calumet,Fountain 11 High,<2.0,U,0.0,0
Calumet,Fountain 11 Low,<2.0,U,0.0,0
Calumet,Fountain 12,<2.0,U,0.0,0
Calumet,Fountain 13,<2.0,U,0.0,0
Carver,Main Hallway,<0.120,U,0.0,0
Carver,Between Locker Rooms,2.23,J,2.23,0
Carver,Pool Deck,1.28,J,1.28,0
Carver,Kitchen Sink,2.1,,2.1,0
Carver,Fountain 1,<2.0,U,0.0,0
Carver,Fountain 2,<2.0,U,0.0,0
Carver,Fountain 4,13,,13.0,0
Cedar,Fountain 1 High,<2.0,U,0.0,0
Cedar,Fountain 1 Middle,<2.0,U,0.0,0
Cedar,Fountain 1 Low,<2.0,U,0.0,0
Central Playlot,Fountain 1 High,2.0,J,2.0,0
Central Playlot,Fountain 1 Low,2.28,J,2.28,0
Challenger,Fountain 1 High,<2.0,U,0.0,0
Challenger,Fountain 1 Middle,<2.0,U,0.0,0
Challenger,Fountain 1 Low,<2.0,U,0.0,0
Chase,1st Floor Lobby,0.838,J,0.838,0
Chase,2nd Floor by Bathrooms,0.757,J,0.757,0
Chase,Fountain 1 High,<2.0,U,0.0,0
Chase,Fountain 1 Low,<2.0,U,0.0,0
Chase,Fountain 2*,25,,25.0,1
Chase,Fountain 3,11,,11.0,0
Chase,Fountain 4 High,<2.0,U,0.0,0
Chase,Fountain 4 Middle,<2.0,U,0.0,0
Chase,Fountain 4 Low,<2.0,U,0.0,0
Chase,Fountain 5 High*,42,,42.0,1
Chase,Fountain 5 Low*,41,,41.0,1
Chestnut,Fountain 1 High*,23.1,,23.1,1
Chestnut,Fountain 1 Low*,23.5,,23.5,1
Chicago Women's,1st Floor,<0.120,U,0.0,0
Chicago Women's,2nd Floor,<0.120,U,0.0,0
Chicago Women's,3rd Floor,<0.120,U,0.0,0
Chippewa,Front Hallway,2.3,J,2.3,0
Chippewa,Fountain 1,0.522,J,0.522,0
Chopin,Main Lobby,1.37,J,1.37,0
Chopin,Fountain 1,0.965,J,0.965,0
Chopin,Fountain 2,5.2,,5.2,0
Chopin,Fountain 3,0.491,J,0.491,0
Chopin,Fountain 4*,21.5,,21.5,1
Churchill,Fountain 1 High,<2.0,U,0.0,0
Churchill,Fountain 1 Middle,<2.0,U,0.0,0
Churchill,Fountain 1 Low,<2.0,U,0.0,0
Churchill,Fountain 2 High,<2.0,U,0.0,0
Churchill,Fountain 2 Middle,<2.0,U,0.0,0
Churchill,Fountain 2 Low,<2.0,U,0.0,0
Citizens Memorial,Fountain 1*,58,,58.0,1
Clarendon,Game Room East Wall - High,1.37,J,1.37,0
Clarendon,Game Room East Wall - Low,0.447,J,0.447,0
Clarendon,2nd Floor Bathrooms,1.09,J,1.09,0
Clarendon,Fitness Center,0.186,J,0.18600000000000003,0
Clarendon,Fountain 1,<2.0,U,0.0,0
Clarendon,Fountain 2*,45,,45.0,1
Clarendon,Fountain 3 High,<2.0,U,0.0,0
Clarendon,Fountain 3 Middle,<2.0,U,0.0,0
Clarendon,Fountain 3 Low,2.1,,2.1,0
Clarendon,Fountain 4 High,<2.0,U,0.0,0
