Abbott,"","",""
Men's Locker Room ,9.77
Women's Locker Room ,2.44 J
Outdoor,""
Fountain 2 High ,2.11 J
Fountain 2 Middle ,2.19 J
Fountain 2 Low ,2.08 J
Fountain 3* ,27.8
Brighton,""
Outdoor ,""
Fountain 1 High ,12
Fountain 1 Middle ,13
Fountain 1 Low ,11.8
Broadway Armory,""
Indoor,""
Main Lobby ,<0.120 U
East Side Vestibule ,0.189 J
Kitchen Sink ,6.9
Bromann,""
Outdoor,""
Fountain 1 High ,<2.0 U
Fountain 1 Middle ,<2.0 U
Fountain 1 Low ,<2.0 U
Bronco Billy,""
Outdoor,""
Fountain 1 High ,4.1
Fountain 1 Low ,<2.0 U
Brooks (Gwendolyn),""
Outdoor ,""
Fountain 1 High ,8.1
Fountain 1 Low ,8.7
Brooks (Oscar),""
Indoor,""
North Foyer ,0.617 J
2nd Floor Club Room ,0.793 J
Outdoor,""
Fountain 1 High* ,145
Fountain 1 Low* ,83
Fountain 2* ,46.5
Brown Memorial,""
Outdoor,""
Fountain 1* ,41.6
Fountain 2* ,76.2
Brynford,""
Outdoor ,""
Fountain 1 High ,3.91
Fountain 1 Low ,3.96
Burnham,""
Outdoor,""
Fountain 1 High ,<2.0 U
Fountain 1 Low ,<2.0 U
Fountain 2 High ,<2.0 U
Fountain 2 Middle ,<2.0 U
Fountain 2 Low ,<2.0 U
Fountain 3 High ,2.4
Fountain 3 Low ,˂2.0 U
Fountain 4 High ,˂2.0 U
Fountain 4 Low ,˂2.0 U
Fountain 5 High ,˂2.0 U
Fountain 5 Low ,˂2.0 U
Fountain 6 High ,˂2.0 U
Fountain 6 Low ,˂2.0 U
Fountain 7 High ,˂2.0 U
Fountain 7 Low ,˂2.0 U
Fountain 8 High ,˂2.0 U
Fountain 8 Low ,˂2.0 U
Fountain 5.1 High ,˂2.0 U
Fountain 5.1 Low ,˂2.0 U
Fountain 5.2 High ,˂2.0 U
Fountain 5.2 Low ,˂2.0 U
"",Fountain 9* ,24
"",Fountain 10 ,2.8
"",Fountain 11* ,60
"",Fountain 12 High ,˂2.0 U
"",Fountain 12 Low ,˂2.0 U
"",Fountain 13 High ,˂2.0 U
"",Fountain 13 Low ,˂2.0 U
"",Fountain 14 High ,˂2.0 U
"",Fountain 14 Low ,˂2.0 U
"",Fountain 15 High ,˂2.0 U
"",Fountain 15 Low ,˂2.0 U
"",Fountain 15-Dog ,˂2.0 U
"",Fountain 16 High ,˂2.0 U
"",Fountain 16 Low ,˂2.0 U
"",Fountain 17 ,˂2.0 U
"",Fountain 18 ,˂2.0 U
"",Fountain 19 High* ,37
"",Fountain 19 Middle* ,42
"",Fountain 19 Low* ,40
"",Fountain 20 ,2.5
"",Fountain 21* ,24
"",Fountain 22 ,<2.0 U
"",Fountain 23 ,<2.0 U
"",Fountain 24* ,21
"",Fountain 25 ,<2.0 U
"",Fountain 26 ,3.9
"",Fountain 27 South ,<2.0 U
"",Fountain 27 East ,<2.0 U
"",Fountain 27 North ,<2.0 U
"",Fountain 28 High ,<2.0 U
"",Fountain 28 Low ,<2.0 U
Burnside,"",""
Outdoor,"",""
"",Fountain 1 ,<2.0 U
"",Fountain 2 ,3.3
"",Fountain 3 ,7.4
Buttercup,"",""
Outdoor,"",""
"",Fountain 1 High ,<2.0 U
"",Fountain 1 Middle ,<2.0 U
"",Fountain 1 Low ,<2.0 U
Catalpa,"",""
Outdoor,"",""
"",Fountain 1 ,5.49
California,""
Outdoor,""
Fountain 1 High ,<0.120  U
Fountain 1 Middle ,<0.120  U
Fountain 1 Low ,<0.120  U
Fountain 2 High ,0.137 J
Fountain 2 Low ,<0.120  U
Fountain 3* ,29.5
Calumet,""
Indoor,""
Hall Outside of Women's Room ,0.55  J
Hall Outside of Preschool Room ,1.05  J
Girl's Locker Room ,12.4
Boy's Locker Room ,1.48  J
Basement Near Train Room ,1.82  J
Outdoor,""
Fountain 2* ,16
Fountain 3 ,<2.0 U
Fountain 4 High ,<2.0 U
Fountain 4 Low ,<2.0 U
Fountain 5 ,<2.0 U
Fountain 6 ,<2.0 U
Fountain 7 ,7.2
Fountain 8 ,9.2
Fountain 9 ,9.7
Fountain 10 ,<2.0 U
Fountain 11 High ,<2.0 U
Fountain 11 Low ,<2.0 U
Fountain 12 ,<2.0 U
Fountain 13 ,<2.0 U
Carver,""
Indoor,""
Main Hallway ,<0.120 U
Between Locker Rooms ,2.23 J
Pool Deck ,1.28 J
Kitchen Sink ,2.1
Outdoor,""
Fountain 1 ,<2.0 U
Fountain 2 ,<2.0 U
Fountain 4 ,13
Cedar,""
Outdoor,""
Fountain 1 High ,<2.0 U
Fountain 1 Middle ,<2.0 U
Fountain 1 Low ,<2.0 U
Central Playlot,""
Outdoor,""
Fountain 1 High ,2.0 J
Fountain 1 Low ,2.28 J
Challenger,""
Outdoor,""
Fountain 1 High ,˂2.0 U
Fountain 1 Middle ,˂2.0 U
Fountain 1 Low ,˂2.0 U
Chase,""
Indoor,""
1st Floor Lobby ,0.838  J
2nd Floor by Bathrooms ,0.757  J
Outdoor,""
Fountain 1 High ,˂2.0 U
Fountain 1 Low ,˂2.0 U
Fountain 2* ,25
Fountain 3 ,11
Fountain 4 High ,˂2.0 U
Fountain 4 Middle ,˂2.0 U
Fountain 4 Low ,˂2.0 U
Fountain 5 High* ,42
Fountain 5 Low* ,41
Chestnut,""
Outdoor,""
Fountain 1 High* ,23.1
Fountain 1 Low* ,23.5
Chicago Women's,""
Indoor,""
1st Floor ,<0.120  U
2nd Floor ,<0.120  U
3rd Floor ,<0.120  U
Chippewa,""
Indoor,""
Front Hallway ,2.3 J
Outdoor ,""
Fountain 1 ,0.522 J
Chopin,"","",""
Indoor,"","",""
Main Lobby ,"","",1.37  J
Outdoor,"","",""
Fountain 1 ,"","",0.965 J
Fountain 2 ,"","",5.2
Fountain 3 ,"","",0.491 J
Fountain 4* ,"","",21.5
Churchill,"","",""
Indoor,"","",""
Fountain 1 High ,"","",˂2.0 U
Fountain 1 Middle ,"","",˂2.0 U
Fountain 1 Low ,"","",˂2.0 U
Fountain 2 High ,"","",˂2.0 U
Fountain 2 Middle ,"","",˂2.0 U
Fountain 2 Low ,"","",˂2.0 U
Citizens Memorial,"","",""
Outdoor,"","",""
Fountain 1* ,"","",58
Clarendon,"","",""
Indoor,"","",""
Game Room East Wall - High ,"","",1.37 J
Game Room East Wall - Low ,"","",0.447 J
2nd Floor Bathrooms ,"","",1.09 J
Fitness Center ,"","",0.186 J
Oudoor,"","",""
Fountain 1 ,"","",<2.0 U
Fountain 2* ,"","",45
Fountain 3 High ,"","",<2.0 U
Fountain 3 Middle ,"","",<2.0 U
Fountain 3 Low ,"","",2.1
Fountain 4 High ,"","",<2.0 U
Fountain 4 Middle ,"","",<2.0 U
Fountain 4 Low ,"","",<2.0 U
Clark (John),"","",""
Indoor,"","",""
Lobby ,"","",0.837  J
Outdoor,"","",""
Fountain 1 ,"","",0.291 J
Clark (Richard),"","",""
Outdoor,"","",""
Fountain 1 High ,"","",0.124 J
Fountain 1 Low ,0.127 J
Fountain 2 High ,0.994 J
Fountain 2 Low ,0.291 J
Clark Boathouse,""
Indoor,""
Main Lobby ,<0.120 U
By Washrooms ,<0.120 U
Claremont,""
Outdoor,""
Fountain 1 High ,1.11 J
Fountain 1 Middle ,1.1 J
Fountain 1 Low ,0.893 J
Clover,""
Outdoor,""
Fountain 1 High* ,66
Fountain 1 Low* ,58
Clybourn,""
Outdoor,""
Fountain 1 High* ,30
Fountain 1 Low* ,31
Cochran,""
Outdoor,""
Fountain 1 High* ,41
Fountain 1 Low* ,42
Cole,""
Indoor,""
Main Lobby ,0.364 J
Outdoor,""
Fountain 1* ,42.4
Fountain 2 High ,0.599 J
Fountain 2 Middle ,0.388 J
Fountain 2 Low ,0.519 J
Fountain 3* ,140
Fountain 4* ,15.5
Coleman,""
Outdoor,""
Fountain 1* ,27.9
Coliseum,""
Outdoor ,""
"",Fountain 1 High ,<2.0 U
"",Fountain 1 Low ,2.1
"",Fountain 1 Dog ,<2.0 U
"",Fountain 2 ,<2.0 U
Columbus,"",""
Indoor,"",""
"",Front Lobby ,0.688 J
Outdoor,"",""
"",Fountain 1 ,6.5
"",Fountain 2 ,0.436 J
"",Fountain 3 ,2.26 J
"",Fountain 4 ,1.55 J
"",Fountain 5 ,0.593 J
"",Fountain 6 ,14
"",Fountain 7 High ,0.491 J
"",Fountain 7 Low ,0.283 J
"",Fountain 8 High ,6.96
"",Fountain 8 Low ,7.09
"",Fountain 9 ,3.08 J
"",Fountain 10 High ,0.244 J
"",Fountain 10 Low ,1.35 J
"",Fountain 11 Low ,2.05 J
Columbus Athletic Building,"",""
Indoor,"",""
"",By Large Gym ,0.123 J
Columbus Refectory,"",""
Indoor,"",""
"",East Foyer ,0.66 J
Commercial Club,"",""
Indoor,"",""
"",Lobby ,0.438 J
"",Kitchen Sink ,<2.0 U
Outdoor,"",""
"",Fountain 1 High ,0.661 J
"",Fountain 1 Middle ,0.614 J
"",Fountain 1 Low ,0.46 J
Cooper,"",""
Indoor,"",""
"",Main Lobby ,1.85 J
Outdoor ,"",""
"",Fountain 1 ,0.916 J
"",Fountain 2 High ,0.205 J
"",Fountain 2 Low ,1.07 J
Cornell,"",""
"",Outdoor,""
"",Fountain 1 High* ,97.5
"",Fountain 1 Low* ,116
Cornell Square,"",""
"",Indoor,""
"",Near Women's Room ,2.62 J
"",Near Entrance ,0.227 J
"",Kitchen Sink ,<2.0 U
"",Outdoor,""
"",Fountain 1 ,˂0.120 U
"",Fountain 2 ,6.36
"",Fountain 3 High ,˂0.120 U
"",Fountain 3 Low ,˂0.120 U
"",Fountain 4 ,3.98 J
Cosme,"",""
"",Outdoor,""
"",Fountain 1 High ,0.334 J
"",Fountain 1 Dog ,0.363 J
"",Fountain 2 ,10.5
Cotton Tail ,"",""
"",Outdoor ,""
"",Fountain 1 ,<2.0 U
"",Fountain 2 ,<2.0 U
"",Fountain 3 High ,<2.0 U
