park_name,score,num_fixtures,geo_park
Parsons,0,3,PARSONS (LUCY)
Snowberry,0,1,SNOWBERRY
Smith (Joseph Higgins),0.444444444444444,9,SMITH (JOSEPH HIGGINS)
Addam/Medil,0,1,ADDAMS (JANE) MEML.
Sweet Clover,0,2,SWEET CLOVER
Hazelnut,0,1,HAZELNUT
Debow,1,1,DEBOW (RUSSELL)
Bogan,0,4,BOGAN (WILLIAM)
Dawes,0.166666666666667,6,DAWES (CHARLES)
Eckersall,0,2,ECKERSALL (WALTER HERBERT)
Hamlin,0.5,6,HAMLIN (HANNIBAL)
Wieboldt,1,1,WIEBOLDT (WILLIAM)
Ken-Well,0.5,2,KEN-WELL
Bell,0.5,2,"BELL (GEORGE,JR.)"
Weisman,0,3,WEISMAN (ALBERT)
Algonquin,0,3,ALGONQUIN
South Lakeview,1,2,SOUTH LAKEVIEW
Grape,1,1,GRAPE
Kosciuszko,0.2,10,KOSCIUSZKO (THADEUZ)
Noethling,0.5,2,NOETHLING (GRACE)
Kelvyn,0.142857142857143,7,KELVYN (WILLIAM)
Park West,1,2,PARK WEST
Jonquil,0.4,5,JONQUIL
Wrightwood,1,4,WRIGHTWOOD
Supera,0,3,SUPERA
Cragin,0,3,CRAGIN
Riis,0.222222222222222,18,RIIS (JACOB)
Schaefer,1,1,SCHAEFER (EDWARD)
Haas,0,6,HAAS (JOSEPH)
Trebes,0,1,TREBES
Citizens Memorial,1,1,SENIOR CITIZENS MEML.
Blackhawk,0.5,4,BLACKHAWK
Holstein,0.2,5,HOLSTEIN
Clover,1,2,CLOVER
Hermosa,0,3,HERMOSA
Oz,0.625,8,OZ
Mozart,0.333333333333333,3,MOZART (AMADEUS)
Aiello,0,3,AIELLO (JOHN)
Maple,1,1,MAPLE
Adams (George & Adelle),0.4,5,ADAMS (GEORGE & ADELE)
Humboldt,0.205882352941176,34,HUMBOLDT (BARON VON)
Mandrake,0,9,MANDRAKE (HENRY BROWN)
Seward,0.142857142857143,7,SEWARD (WILLIAM)
Jefferson Playlot,0,3,JEFFERSON (THOMAS)
Unity,0,4,UNITY
Gage,0.1875,16,GAGE (GEORGE)
Legion,0.833333333333333,6,LEGION
Lincoln Park South Athletic Fieldhouse,0,1,LINCOLN (ABRAHAM)
Lincoln Park Margate,0,1,LINCOLN (ABRAHAM)
Lincoln Park Cultural Center,0,2,LINCOLN (ABRAHAM)
Lincoln,0.130081300813008,123,LINCOLN (ABRAHAM)
McInerney,0,1,MCINERNEY (THOMAS)
Bosley,0,1,BOSLEY (WILLIAM)
Eugene Field,0.214285714285714,14,FIELD (EUGENE)
Palmisano,0,2,PALMISANO (HENRY)
Calumet,0.0526315789473684,19,CALUMET
Pine,0,2,PINE
Abbott,0,7,ABBOTT (ROBERT)
Oakdale,0.142857142857143,7,OAKDALE
Pietrowski,0,2,PIETROWSKI (SYLVESTER)
Merrill,0,1,MERRILL (GEORGE)
Veteran's Memorial,0,4,VETERANS' MEMORIAL
Marquette,0.12,25,MARQUETTE (JACQUES)
Dvorak,0.230769230769231,13,DVORAK (ANTON)
Minuteman,1,4,MINUTEMAN
Washington (George),0.259259259259259,27,WASHINGTON (GEORGE)
Washington (Harold),0,3,WASHINGTON (HAROLD)
Wang,0,3,WANG (CHI CHE)
Harris,0,7,HARRIS (HARRIET)
Lazarus,1,1,LAZARUS (EMMA)
Nichols,0.2,5,NICHOLS (JOHN FOUNTAIN)
River,0,16,RIVER
Ronan,0,5,RONAN (GEORGE)
Logan Square Skate Park,0,2,LOGAN SQUARE SKATE PARK
Chippewa,0,2,CHIPPEWA
Juneway Beach,1,1,JUNEWAY TERR. BEACH
Rogers Beach,1,2,ROGERS (PHILLIP) BEACH
Dubkin,0,2,DUBKIN (LEONARD)
Pottawatomie,0.111111111111111,9,POTTAWATTOMIE
Touhy,0.428571428571429,7,TOUHY (PATRICK)
Rogers,0.4,5,ROGERS (PHILLIP)
Leone Beach,0.5,2,LEONE (SAM) BEACH
Wildwood,1,4,WILDWOOD
Matanky,0,1,MATANKY (EUGENE)
Loyola,0.181818181818182,11,LOYOLA
Goldberg,1,2,GOLDBERG (LOUIS)
Indian Boundary,0.625,8,INDIAN BOUNDARY
Brooks (Oscar),0.6,5,BROOKS (OSCAR)
Paschen,1,1,PASCHEN (CHRISTIAN)
Lunt,0,1,"LUNT (ORRINGTON, STEPHEN)"
Lerner,0,4,LERNER (LEO)
Edison,0,1,EDISON (THOMAS ALVA)
Hartigan Beach,0,3,HARTIGAN (DAVID) BEACH
Langdon,1,1,LANGDON (MARY MARGARET)
Monument,1,1,MONUMENT
Edgebrook,0,2,EDGEBROOK
Green,1,1,GREEN (JEFFERY)
Olympia,0.333333333333333,6,OLYMPIA
Pleasant Point,0,3,PLEASANT POINT
D'Elia,1,2,D'ELIA (AILEEN)
Berger,0,3,BERGER (ALBERT)
Emmerson,0.5,2,EMMERSON (LOUIS)
Korczak,1,1,KORCZAK (JANUSZ)
Indian Road,0.428571428571429,7,INDIAN ROAD
Green Briar,0.4,5,GREEN BRIAR
DeJulio,1,2,DEJULIO (ANTHONY)
Lane Beach,0,3,LANE (GEORGE) BEACH
Mather,0,5,MATHER (STEPHEN TYNG)
Broadway Armory,0,3,BROADWAY ARMORY
Hollywood,0.333333333333333,3,HOLLYWOOD
Peterson,0.4,5,PETERSON (PEHR SAMUEL)
Sauganash,0,6,SAUGANASH
Norwood Park,0.333333333333333,15,NORWOOD
Brynford,0,2,BRYNFORD
Cochran,1,2,COCHRAN (JOHN)
Athletic Field,0.2,5,ATHLETIC FIELD
Mellin,0,3,"MELLIN (CURTIS, SR.)"
Oriole,0.3,10,ORIOLE
Bromann,0,3,BROMANN (CHARLES)
Gladstone,0.666666666666667,3,GLADSTONE (WILLIAM)
Cedar,0,3,CEDAR
Forest Glen,0,3,FOREST GLEN
Andersonville,1,1,ANDERSONVILLE
Austin-Foster,1,2,AUSTIN FOSTER
Winnemac,0,3,WINNEMAC
Jefferson Memorial,0.111111111111111,9,JEFFERSON (THOMAS) MEML.
Ashmore,1,1,ASHMORE
Chase,0.272727272727273,11,CHASE (SALMON)
Gompers,0.375,16,GOMPERS (SAMUEL)
North Mayfair,1,1,NORTH MAYFAIR
Buttercup,0,3,BUTTERCUP
Roberts Square,0,1,ROBERTS (DANIEL) SQUARE
Hickory,0,2,HICKORY
Gross,1,2,GROSS
Vogle,1,1,VOGLE (HENRY JR.)
Thuis,1,1,THUIS (GRACE ZWIEFKA)
Gooseberry,1,1,GOOSEBERRY
Aster,0,1,ASTER
Jacob,1,2,JACOB
Spikings Farm,0,2,SPIKINGS FARM
Park 500,0,1,PARK NO. 500
Miller,1,2,MILLER (SAMUEL)
Violet,0,1,VIOLET
Roosevelt,1,1,ROOSEVELT (THEODORE)
Munroe,0,5,MUNROE
Daley (Richard),0,2,DALEY (RICHARD J.)
Willye White,0,4,WHITE (WILLYE B.)
Ward,0,6,WARD (A. MONTGOMERY)
Houston,0,2,"HOUSTON (JESSIE ""MA"")"
Vittum,0,12,VITTUM (HARRIET ELIZABETH)
Cornell Square,0,8,CORNELL (PAUL) SQUARE
Sycamore,1,1,SYCAMORE
Little Venice,0,1,LITTLE VENICE
Elm,0,1,ELM
Lowe,0,4,LOWE (SAMUEL)
Normandy,0.2,5,NORMANDY
Klein,0,3,KLEIN (LOIS)
Park 551,0,4,PARK NO. 551
Chicago Women's,0,3,CHICAGO WOMEN'S PARK AND GARDENS
Sherman,0.307692307692308,13,SHERMAN (JOHN)
Spruce,1,1,SPRUCE
Stars and Stripes,0,3,STARS & STRIPES
Pritzker,0,2,PRITZKER
Park 556,0,3,PARK NO. 556
Jensen,0,4,JENSEN (CHRIST)
Dunham,0.222222222222222,9,DUNHAM (ROBERT)
Ravenswood Manor,0,1,RAVENSWOOD MANOR
Clarendon,0.0833333333333333,12,CLARENDON COMM. CTR.
Wilson (Frank),0.5,6,WILSON (FRANK)
Mayfair,0,4,MAYFAIR
Smith (Wendell),0.5,4,SMITH (WENDELL)
