School Short Name,Facility ID,Sample ID #,Sample Location,Sample Collection Time & Date,,Test Result (ppb),Test Results
Young HS-Building A,51568,51568-1-HAL-WC01-04,Main Entrance Water Cooler,7:25AM,<0.50,BA
Young HS-Building A,51568,51568-1-HAL-WC01-05,Main Entrance Water Cooler,7:25AM,<0.50,BA
Young HS-Building A,51568,51568-1-HAL-F02-01,Main Entrance Right Fountain,7:30AM,<0.50,BA
Young HS-Building A,51568,51568-1-HAL-F02-02,Main Entrance Right Fountain,7:30AM,<0.50,BA
Young HS-Building A,51568,51568-1-HAL-F02-03,Main Entrance Right Fountain,7:30AM,<0.50,BA
Young HS-Building A,51568,51568-1-HAL-F02-04,Main Entrance Right Fountain,7:30AM,<0.50,BA
Young HS-Building A,51568,51568-1-HAL-F02-05,Main Entrance Right Fountain,7:30AM,<0.50,BA
Young HS-Building A,51568,51568-1-HAL-F03-01,Outside RM 128-Attendance offive,7:35AM,4.1,BA
Young HS-Building A,51568,51568-1-HAL-F03-02,Outside RM 128-Attendance offive,7:35AM,4.4,BA
Young HS-Building A,51568,51568-1-HAL-F03-03,Outside RM 128-Attendance offive,7:35AM,3.2,BA
Young HS-Building A,51568,51568-1-HAL-F03-04,Outside RM 128-Attendance offive,7:35AM,2.5,BA
Young HS-Building A,51568,51568-1-HAL-F03-05,Outside RM 128-Attendance offive,7:35AM,2.5,BA
Young HS-Building A,51568,51568-1-HAL-F04-01,Outside Counseling Dept,7:40AM,0.66,BA
Young HS-Building A,51568,51568-1-HAL-F04-02,Outside Counseling Dept,7:40AM,0.54,BA
Young HS-Building A,51568,51568-1-HAL-F04-03,Outside Counseling Dept,7:40AM,0.67,BA
Young HS-Building A,51568,51568-1-HAL-F04-04,Outside Counseling Dept,7:40AM,0.7,BA
Young HS-Building A,51568,51568-1-HAL-F04-05,Outside Counseling Dept,7:40AM,0.75,BA
Young HS-Building A,51568,51568-1-HAL-F05-01,Entrance 3,7:45AM,2.1,BA
Young HS-Building A,51568,51568-1-HAL-F05-02,Entrance 3,7:45AM,1.7,BA
Young HS-Building A,51568,51568-1-HAL-F05-03,Entrance 3,7:45AM,1.4,BA
Young HS-Building A,51568,51568-1-HAL-F05-04,Entrance 3,7:45AM,1.2,BA
Young HS-Building A,51568,51568-1-HAL-F05-05,Entrance 3,7:45AM,1.3,BA
Young HS-Building A,51568,51568-3-HAL-F01-01,South East Corner of Hall Left Fount,8:00AM,2.1,BA
Young HS-Building A,51568,51568-3-HAL-F01-02,South East Corner of Hall Left Fount,8:00AM,0.67,BA
Young HS-Building A,51568,51568-3-HAL-F01-03,South East Corner of Hall Left Fount,8:00AM,1.1,BA
Young HS-Building A,51568,51568-3-HAL-F01-04,South East Corner of Hall Left Fount,8:00AM,1.4,BA
Young HS-Building A,51568,51568-3-HAL-F01-05,South East Corner of Hall Left Fount,8:00AM,1.5,BA
Young HS-Building A,51568,51568-3-HAL-F02-01,Southeast Corner of Hall Right Fount,8:05AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-F02-02,Southeast Corner of Hall Right Fount,8:05AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-F02-03,Southeast Corner of Hall Right Fount,8:05AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-F02-04,Southeast Corner of Hall Right Fount,8:05AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-F02-05,Southeast Corner of Hall Right Fount,8:05AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-WC01-01,Southeast Corner of Hall Water Cooler,8:10AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-WC01-02,Southeast Corner of Hall Water Cooler,8:10AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-WC01-03,Southeast Corner of Hall Water Cooler,8:10AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-WC01-04,Southeast Corner of Hall Water Cooler,8:10AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-WC01-05,Southeast Corner of Hall Water Cooler,8:10AM,<0.50,BA
Young HS-Building A,51568,51568-3-HAL-F05-01,North West End of Hall left,8:15AM,1.6,BA
Young HS-Building A,51568,51568-3-HAL-F05-02,North West End of Hall left,8:15AM,1.3,BA
